0025ac7d,"fileio.cpp"
0025ac88,"_Z6       strend              Pc"
0025ac94,"_ZN3      ndi11ReadHufWord    EPPh"
0025acad,"_Z7       kstrcpy             PcS_"
0025acbc,"_Z9       kstrcpyup           PcS_"
0025accd,"_Z7       kstrcat             PcS_"
0025acdc,"_Z8       kstrncat            PcS_i"
0025aced,"_Z10      kstrinsert          Pcci"
0025ad00,"_Z8       basename            Pc"
0025ad0e,"_Z14      DecodeFileName      Pc"
0025ad23,"_Z12      MakeFileName        iPKciS0_P16MakeFileNameInfob"
0025ad50,"_Z10      FileExists          PKc"
0025ad62,"_Z10      FileDelete          PKc"
0025ad74,"_Z8       FileCopy            PKcS0_"
0025ad86,"_Z10      FileLength          PKc"
0025ad98,"_Z8       FileLoad            PKcPN3ndi9kheapinfoEPhjPi"
0025adbd,"_Z8       FileSave            PKcPci"
0025adcf,"interupt_was_enabled"
0025ade4,"_ZZ12     MakeFileName        iPKciS0_P16MakeFileNameInfobE6buffer"
0025ae1c,"interupt_was_enabled"
0025ae31,"_Z6       strend              Pc"
0025ae3d,"_ZN3      ndi11ReadHufWord    EPPh"
0025ae56,"_Z7       kstrcpy             PcS_"
0025ae65,"_Z9       kstrcpyup           PcS_"
0025ae76,"_Z7       kstrcat             PcS_"
0025ae85,"_Z8       kstrncat            PcS_i"
0025ae96,"_Z10      kstrinsert          Pcci"
0025aea9,"strlen"
0025aebe,"_Z14      DecodeFileName      Pc"
0025aed3,"strncmp"
0025aedb,"_Z12      MakeFileName        iPKciS0_P16MakeFileNameInfob"
0025af08,"_ZZ12     MakeFileName        iPKciS0_P16MakeFileNameInfobE6buffer"
0025af3e,"_ZN3ndi11 kglobalheap         E"
0025af54,"_ZN3ndi7  kmalloc             EPNS_9kheapinfoEijPKc"
0025af79,"sprintf"
0025af81,"_Z10      FileExists          PKc"
0025af93,"_Z10      FileDelete          PKc"
0025afa5,"_Z8       FileCopy            PKcS0_"
0025afb7,"_Z10      FileLength          PKc"
0025afc9,"sceOpen"
0025afd1,"_ZN3ndi6  MsgErr              EPKcz"
0025afe5,"sceLseek"
0025afee,"sceClose"
0025aff7,"_Z8       FileLoad            PKcPN3ndi9kheapinfoEPhjPi"
0025b01c,"sceRead"
0025b024,"_Z8       FileSave            PKcPci"
0025b036,"sceWrite"
